Epoch,loss,Validation loss,Model,Training,split
10,0.4439335167407989,0.4378291666507721,autocovariance_detector_30s,stead,3
11,0.4349864423274994,0.4317034780979156,autocovariance_detector_30s,stead,3
12,0.4297327995300293,0.4282416999340057,autocovariance_detector_30s,stead,3
13,0.4269540905952453,0.4258922934532165,autocovariance_detector_30s,stead,3
14,0.4252663254737854,0.4237414896488189,autocovariance_detector_30s,stead,3
15,0.4239197671413421,0.4225804209709167,autocovariance_detector_30s,stead,3
16,0.4227643311023712,0.4216609895229339,autocovariance_detector_30s,stead,3
17,0.4217138886451721,0.4204246401786804,autocovariance_detector_30s,stead,3
18,0.4205848276615143,0.4192981123924255,autocovariance_detector_30s,stead,3
19,0.4148066937923431,0.4094144701957702,autocovariance_detector_30s,stead,3
0,1.0427263975143433,0.973877489566803,autocovariance_detector_30s,stead,4
1,0.9071755409240724,0.8312522768974304,autocovariance_detector_30s,stead,4
2,0.7836909294128418,0.7226027846336365,autocovariance_detector_30s,stead,4
3,0.6846194863319397,0.6494570970535278,autocovariance_detector_30s,stead,4
4,0.6235878467559814,0.6084422469139099,autocovariance_detector_30s,stead,4
5,0.5813438892364502,0.5454943180084229,autocovariance_detector_30s,stead,4
6,0.5237269997596741,0.5138415098190308,autocovariance_detector_30s,stead,4
7,0.5101497769355774,0.5088042616844177,autocovariance_detector_30s,stead,4
8,0.5067132711410522,0.5063591599464417,autocovariance_detector_30s,stead,4
9,0.5043818354606628,0.5040556192398071,autocovariance_detector_30s,stead,4
10,0.4925981163978576,0.47817063331604,autocovariance_detector_30s,stead,4
11,0.4692297875881195,0.4654954969882965,autocovariance_detector_30s,stead,4
12,0.463189035654068,0.4628586173057556,autocovariance_detector_30s,stead,4
13,0.4611492753028869,0.4615248739719391,autocovariance_detector_30s,stead,4
14,0.4598036706447601,0.4624615013599396,autocovariance_detector_30s,stead,4
15,0.4586533010005951,0.461272656917572,autocovariance_detector_30s,stead,4
16,0.4576869010925293,0.4615598618984222,autocovariance_detector_30s,stead,4
17,0.456809788942337,0.4597560465335846,autocovariance_detector_30s,stead,4
18,0.45613893866539,0.4597899615764618,autocovariance_detector_30s,stead,4
19,0.4553845524787903,0.4575128257274627,autocovariance_detector_30s,stead,4
0,6.710466384887695,5.087118148803711,ensemble5_cross_covariance_detector30s,instance,0
1,4.392850399017334,3.895423650741577,ensemble5_cross_covariance_detector30s,instance,0
2,3.4441516399383545,3.026773452758789,ensemble5_cross_covariance_detector30s,instance,0
3,2.7298831939697266,2.541710138320923,ensemble5_cross_covariance_detector30s,instance,0
4,2.5170445442199707,2.5372588634490967,ensemble5_cross_covariance_detector30s,instance,0
5,2.5036869049072266,2.5913350582122803,ensemble5_cross_covariance_detector30s,instance,0
6,2.550170421600342,2.7213387489318848,ensemble5_cross_covariance_detector30s,instance,0
